Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,2089/4/30,2089 04<pad>30<pad><pad><pad><pad><pad>,explicit,<date 2089/4/30 2089 04<pad>30<pad><pad><pad><pad><pad>>
DATE,DATE,in June 1903,1903 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 1903 1903 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1951,1951<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1951 1951<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the eighth,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the eighth <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,end of april,<pad>04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of april <pad>04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 2048,2048<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2048 2048<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on the twenty-fifth of May, one thousand nine hundred and fifty-four",1954 05<pad>25<pad><pad><pad><pad><pad>,explicit,"<date on the twenty-fifth of May, one thousand nine hundred and fifty-four 1954 05<pad>25<pad><pad><pad><pad><pad>>"
DATE,DATE,early 2058,2058<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2058 2058<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1986/8/23,1986 08<pad>23<pad><pad><pad><pad><pad>,explicit,<date 1986/8/23 1986 08<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,end of 2019,2019<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2019 2019<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1955,1955<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1955 1955<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"August 14, 2096",2096 08<pad>14<pad><pad><pad><pad><pad>,explicit,"<date August 14, 2096 2096 08<pad>14<pad><pad><pad><pad><pad>>"
DATE,DATE,September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in March 1921,1921 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 1921 1921 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"September 24, 1941",1941 09<pad>24<pad><pad><pad><pad><pad>,explicit,"<date September 24, 1941 1941 09<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,December,<pad>12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date December <pad>12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2078/6/20,2078 06<pad>20<pad><pad><pad><pad><pad>,explicit,<date 2078/6/20 2078 06<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of March,<pad>03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of March <pad>03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1967,1967 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1967 1967 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,April eighteenth,<pad>04<pad>18<pad><pad><pad><pad><pad>,explicit,<date April eighteenth <pad>04<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,in February 2021,2021 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 2021 2021 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the twenty-fifth,<pad><pad><pad>25<pad><pad><pad><pad><pad>,explicit,<date On the twenty-fifth <pad><pad><pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,end of March,<pad>03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of March <pad>03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the nineteenth week of 1991,1991<pad>19<pad><pad><pad><pad><pad><pad>,explicit,<date the nineteenth week of 1991 1991<pad>19<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"March 16, 1906",1906 03<pad>16<pad><pad><pad><pad><pad>,explicit,"<date March 16, 1906 1906 03<pad>16<pad><pad><pad><pad><pad>>"
DATE,DATE,in January 1926,1926 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1926 1926 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,December 6th,<pad>12<pad>06<pad><pad><pad><pad><pad>,explicit,<date December 6th <pad>12<pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,in January 1955,1955 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1955 1955 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early august,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early august <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,Fourth of July,<pad>07<pad>04<pad><pad><pad><pad><pad>,explicit,<date Fourth of July <pad>07<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,early 2045,2045<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2045 2045<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July 7,<pad>07<pad>07<pad><pad><pad><pad><pad>,explicit,<date July 7 <pad>07<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,in April 1943,1943 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 1943 1943 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1957,1957 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1957 1957 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,7/17/1994,1994 07<pad>17<pad><pad><pad><pad><pad>,explicit,<date 7/17/1994 1994 07<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,January twenty-fifth,<pad>01<pad>25<pad><pad><pad><pad><pad>,explicit,<date January twenty-fifth <pad>01<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,the eleventh week of 2032,2032<pad>11<pad><pad><pad><pad><pad><pad>,explicit,<date the eleventh week of 2032 2032<pad>11<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the fifteenth,<pad><pad><pad>15<pad><pad><pad><pad><pad>,explicit,<date On the fifteenth <pad><pad><pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,late 1935,1935<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1935 1935<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 1945,1945 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1945 1945 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 1937,1937 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1937 1937 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 1952,1952 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1952 1952 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1968,1968 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1968 1968 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,November thirtieth,<pad>11<pad>30<pad><pad><pad><pad><pad>,explicit,<date November thirtieth <pad>11<pad>30<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-eighth week of 2066,2066<pad>38<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-eighth week of 2066 2066<pad>38<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 2013,2013 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 2013 2013 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1972,1972<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1972 1972<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"October 24, 1980",1980 10<pad>24<pad><pad><pad><pad><pad>,explicit,"<date October 24, 1980 1980 10<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,late 1978,1978<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1978 1978<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1929,1929<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1929 1929<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2000,2000 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2000 2000 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,September 5th,<pad>09<pad>05<pad><pad><pad><pad><pad>,explicit,<date September 5th <pad>09<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the January 5,<pad>01<pad>05<pad><pad><pad><pad><pad>,explicit,<date the January 5 <pad>01<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,On day 3,<pad><pad><pad>03<pad><pad><pad><pad><pad>,explicit,<date On day 3 <pad><pad><pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,2053,2053<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2053 2053<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 1912,1912 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1912 1912 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2060/12/6,2060 12<pad>06<pad><pad><pad><pad><pad>,explicit,<date 2060/12/6 2060 12<pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,"April 23, 1907",1907 04<pad>23<pad><pad><pad><pad><pad>,explicit,"<date April 23, 1907 1907 04<pad>23<pad><pad><pad><pad><pad>>"
DATE,DATE,March sixteenth,<pad>03<pad>16<pad><pad><pad><pad><pad>,explicit,<date March sixteenth <pad>03<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,"March 28, 2092",2092 03<pad>28<pad><pad><pad><pad><pad>,explicit,"<date March 28, 2092 2092 03<pad>28<pad><pad><pad><pad><pad>>"
DATE,DATE,1934,1934<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1934 1934<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1908,1908<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1908 1908<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,October 26,<pad>10<pad>26<pad><pad><pad><pad><pad>,explicit,<date October 26 <pad>10<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,1905/3/22,1905 03<pad>22<pad><pad><pad><pad><pad>,explicit,<date 1905/3/22 1905 03<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,On the 18th,<pad><pad><pad>18<pad><pad><pad><pad><pad>,explicit,<date On the 18th <pad><pad><pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-first week of 2027,2027<pad>21<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-first week of 2027 2027<pad>21<pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"January 23, 1913",1913 01<pad>23<pad><pad><pad><pad><pad>,explicit,"<date January 23, 1913 1913 01<pad>23<pad><pad><pad><pad><pad>>"
DATE,DATE,the forty-fifth week of 1981,1981<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 1981 1981<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 15,<pad>04<pad>15<pad><pad><pad><pad><pad>,explicit,<date April 15 <pad>04<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2085/4/2,2085 04<pad>02<pad><pad><pad><pad><pad>,explicit,<date 2085/4/2 2085 04<pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fifth week of 1906,1906<pad>25<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-fifth week of 1906 1906<pad>25<pad><pad><pad><pad><pad><pad>>
DATE,DATE,5 out of 10,<pad>10<pad>05<pad><pad><pad><pad><pad>,explicit,<date 5 out of 10 <pad>10<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,On the twenty-fourth,<pad><pad><pad>24<pad><pad><pad><pad><pad>,explicit,<date On the twenty-fourth <pad><pad><pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,early 1916,1916<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1916 1916<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 2051,2051 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 2051 2051 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"June thirtieth, one thousand nine hundred and thirty-eight",1938 06<pad>30<pad><pad><pad><pad><pad>,explicit,"<date June thirtieth, one thousand nine hundred and thirty-eight 1938 06<pad>30<pad><pad><pad><pad><pad>>"
DATE,DATE,March twenty-seventh,<pad>03<pad>27<pad><pad><pad><pad><pad>,explicit,<date March twenty-seventh <pad>03<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,the eleventh week of 2001,2001<pad>11<pad><pad><pad><pad><pad><pad>,explicit,<date the eleventh week of 2001 2001<pad>11<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1907,1907 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1907 1907 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1938/8/7,1938 08<pad>07<pad><pad><pad><pad><pad>,explicit,<date 1938/8/7 1938 08<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,1985/9/12,1985 09<pad>12<pad><pad><pad><pad><pad>,explicit,<date 1985/9/12 1985 09<pad>12<pad><pad><pad><pad><pad>>
DATE,DATE,the twelfth week of 2009,2009<pad>12<pad><pad><pad><pad><pad><pad>,explicit,<date the twelfth week of 2009 2009<pad>12<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1984,1984 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1984 1984 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 19th,<pad>04<pad>19<pad><pad><pad><pad><pad>,explicit,<date April 19th <pad>04<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,1969/10/16,1969 10<pad>16<pad><pad><pad><pad><pad>,explicit,<date 1969/10/16 1969 10<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,1939,1939<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1939 1939<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1943/11/26,1943 11<pad>26<pad><pad><pad><pad><pad>,explicit,<date 1943/11/26 1943 11<pad>26<pad><pad><pad><pad><pad>>
