File,Sentence,String
ABC19980108.1830.0711,0,"On the other hand, it 's turning out to be another very bad financial <duration week <pad><pad>1<pad><pad><pad><pad><pad>> for Asia. "
ABC19980108.1830.0711,1,The financial assistance from the World Bank and the International Monetary Fund are not helping. 
ABC19980108.1830.0711,2,"In <duration the last twenty four hours <pad><pad><pad>1<pad><pad><pad><pad>>, the value of the Indonesian stock market has fallen by twelve percent. "
ABC19980108.1830.0711,3,The Indonesian currency has lost twenty six percent of its value. 
ABC19980108.1830.0711,4,"In Singapore, stocks hit a <duration five year 5<pad><pad><pad><pad><pad><pad><pad>> low. "
ABC19980108.1830.0711,5,"In the Philippines, a <duration four year 4<pad><pad><pad><pad><pad><pad><pad>> low. "
ABC19980108.1830.0711,6,"And in Hong Kong, a three percent drop. "
ABC19980108.1830.0711,7,"More problems in Hong Kong for a place, for an economy, that many experts thought was once invincible. "
ABC19980108.1830.0711,8,Here 's ABC 's Jim Laurie. 
ABC19980108.1830.0711,9,"Not that long ago, before the Chinese takeover, the news about real estate here was that the sky was the limit the highest prices in the world. "
ABC19980108.1830.0711,10,"So when Wong Kwan spent seventy million dollars for this house, he thought it was a great deal. "
ABC19980108.1830.0711,11,He sold the property to five buyers and said he 'd double his money. 
ABC19980108.1830.0711,12,"In Hong Kong, is always belongs to the seller 's market. "
ABC19980108.1830.0711,13,"<date now <pad><pad><pad><pad><pad><pad>present<pad><pad>> with new construction under way, three of his buyers have backed out. "
ABC19980108.1830.0711,14,And Wong Kwan will be lucky to break even. 
ABC19980108.1830.0711,15,"All across Hong Kong, the property market has crashed. "
ABC19980108.1830.0711,16,Pamela Pak owns eight condominiums here. 
ABC19980108.1830.0711,17,Pak ca n 't find buyers. 
ABC19980108.1830.0711,18,"She estimates her properties, worth a hundred thirty million dollars in <date october <pad>10<pad><pad><pad><pad><pad><pad><pad>>, are worth only half that <date now <pad><pad><pad><pad><pad><pad>present<pad><pad>>. "
ABC19980108.1830.0711,19,They believe ah it will be always up going up and up ah forever. 
ABC19980108.1830.0711,20,Nobody believe this any more. 
ABC19980108.1830.0711,21,"Of all of Asia 's economies, Hong Kong is the most robust. "
ABC19980108.1830.0711,22,"But in <duration the past three months <pad>3<pad><pad><pad><pad><pad><pad>>, stocks have plunged, interest rates have soared and the downturn all across Asia means that people are not spending here. "
ABC19980108.1830.0711,23,Hotels are only thirty percent full. 
ABC19980108.1830.0711,24,You can get seventy percent discounts at the shopping malls. 
ABC19980108.1830.0711,25,Three thousand dollar pearls for eight hundred dollars. 
ABC19980108.1830.0711,26,A two hundred dollar wool jacket for fifty dollars. 
ABC19980108.1830.0711,27,"Still, there are few buyers. "
ABC19980108.1830.0711,28,"And at the big brokerage houses, after <duration ten years 10<pad><pad><pad><pad><pad><pad><pad>> of boom, they 're talking about layoffs. "
ABC19980108.1830.0711,29,"I think that the mood is fairly gloomy, and I think it 's not going to change for <duration a couple of years 2<pad><pad><pad><pad><pad><pad><pad>>. "
ABC19980108.1830.0711,30,"So for Hong Kong, it 's time, as investment bankers like to say, to reposition. "
ABC19980108.1830.0711,31,"To either hold on tight or get out, as much of Asia goes into recession. "
ABC19980108.1830.0711,32,"Jim Laurie, ABC News, Hong Kong. "
ABC19980114.1830.0611,0,"In Washington <date today <pad><pad><pad><pad>suma 0 d<pad><pad>>, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. "
ABC19980114.1830.0611,1,"There 's nothing new on why the plane exploded, but you cannot miss the moment. "
ABC19980114.1830.0611,2,ABC 's Lisa Stark has more. 
ABC19980114.1830.0611,3,There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder TWA eight hundred climb maintain one five thousand. 
ABC19980114.1830.0611,4,TWA 's eight hundred heavy climb and maintain one five thousand leavin- three thousand. 
ABC19980114.1830.0611,5,"But a <duration minute and a half <pad><pad><pad><pad><pad>1 30<pad>> later, a pilot from a nearby flight calls in. "
ABC19980114.1830.0611,6,"Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that. "
ABC19980114.1830.0611,7,It just went down. 
ABC19980114.1830.0611,8,The controller at Boston center tries to raise TWA eight hundred. 
ABC19980114.1830.0611,9,"TWA eight hundred, if you hear center, ident. "
ABC19980114.1830.0611,10,There is no response. 
ABC19980114.1830.0611,11,"Later, the controller asks the Eastwind pilot for more details. "
ABC19980114.1830.0611,12,"Ah yes, sir. "
ABC19980114.1830.0611,13,"It- It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. "
ABC19980114.1830.0611,14,"At one point, when it became clear controllers could not contact the plane, someone said a prayer. "
ABC19980114.1830.0611,15,"TWA eight hundred, center I think that was him. "
ABC19980114.1830.0611,16,I think so. 
ABC19980114.1830.0611,17,God bless him. 
ABC19980114.1830.0611,18,Lisa Stark ABC news Washington 
ABC19980304.1830.1636,0,"Finally <date today <pad><pad><pad><pad>suma 0 d<pad><pad>>, we learned that the space agency has finally taken a giant leap forward. "
ABC19980304.1830.1636,1,Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in <date december <pad>12<pad><pad><pad><pad><pad><pad><pad>>. 
ABC19980304.1830.1636,2,"Colonel Collins has been the co-pilot before, but this time she 's the boss. "
ABC19980304.1830.1636,3,Here 's ABC 's Ned Potter. 
ABC19980304.1830.1636,4,"Even two hundred miles up in space, there has been a glass ceiling. "
ABC19980304.1830.1636,5,"It wasn 't until <duration twenty years 20<pad><pad><pad><pad><pad><pad><pad>> after the first astronauts were chosen that NASA finally included six women, and they were all scientists, not pilots. "
ABC19980304.1830.1636,6,No woman has actually been in charge of a mission until <date now <pad><pad><pad><pad><pad><pad>present<pad><pad>>. 
ABC19980304.1830.1636,7,Just the fact that we ' re doing the job that we ' re doing makes us role models. 
ABC19980304.1830.1636,8,"That was Eileen Collins, after she flew as the first ever co-pilot. "
ABC19980304.1830.1636,9,Being commander is different. 
ABC19980304.1830.1636,10,It means supervising the rest of the crew in training and leading them in flight. 
ABC19980304.1830.1636,11,"It is, in short, the kind of management job many American women say they 've had to fight for. "
ABC19980304.1830.1636,12,"In space, some say female pilots were held up until <date now <pad><pad><pad><pad><pad><pad>present<pad><pad>> by the lack of piloting opportunities for them in the military. "
ABC19980304.1830.1636,13,"Once Colonel Collins was picked as a NASA astronaut, she followed a normal progression within NASA. "
ABC19980304.1830.1636,14,Nobody hurried her up. 
ABC19980304.1830.1636,15,No one held her back. 
ABC19980304.1830.1636,16,Many NASA watchers say female astronauts have become part of the agency 's routine. 
ABC19980304.1830.1636,17,"But they still have catching up to do two hundred and thirty four Americans have flown in space, only twenty six of them women. "
ABC19980304.1830.1636,18,"Ned Potter, ABC News. "
AP900815-0044,0,"Iraq 's Saddam Hussein, facing U.S. and Arab troops at the Saudi border, <date today <pad><pad><pad><pad>suma 0 d<pad><pad>> sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran-Iraq war. "
AP900815-0044,1,"Also <date today <pad><pad><pad><pad>suma 0 d<pad><pad>>, King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis. "
AP900815-0044,2,President Bush on <date tuesday <pad><pad><pad><pad>neutro 2 dayw<pad><pad>> said the United States may extend its naval quarantine to Jordan 's Red Sea port of Aqaba to shut off Iraq 's last unhindered trade route. 
